形式	資料	識別子	資料名	URL	チェック
HTML	アイヌ語アーカイブ	C0001	織田ステノさんの民話(ｱ) アリにされた弟（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0001	完了
HTML	アイヌ語アーカイブ	C0002	織田ステノさんの民話(ｱ) 目つきの悪い犬（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0002	完了
HTML	アイヌ語アーカイブ	C0003	織田ステノさんの神謡(ｱ) 飢饉を見逃したキツネ神（ハラウォイウォイ）（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0003	完了
HTML	アイヌ語アーカイブ	C0004	織田ステノさんの神謡(ｱ) 金色のひしゃく銀色のひしゃく（トゥノヤケレノヤケ）（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0004	完了
HTML	アイヌ語アーカイブ	C0005	織田ステノさんの神謡(ｱ) おじからの手紙（クエトゥンナ）（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0005	完了
HTML	アイヌ語アーカイブ	C0008	織田ステノさんの民話(ｱ) 切羽が取り持った縁（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0008	完了
HTML	アイヌ語アーカイブ	C0009	民話(ｱ) 犬と一緒に育てられた少年（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0009	完了
HTML	アイヌ語アーカイブ	C0011	織田ステノさんの民話(ｱ) 犬の神様からの授かり物（1979）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0011	完了
HTML	アイヌ語アーカイブ	C0012	織田ステノさんの民話(ｱ) 蛇神に化かされたクマ神（1979）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0012	完了
HTML	アイヌ語アーカイブ	C0014	織田ステノさんの民話(ｱ) 雪で尻を拭いて罰が当たった女（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0014	完了
HTML	アイヌ語アーカイブ	C0015	織田ステノさんの神謡(ｱ) 怠け者の子供（マナイタサンケ）（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0015	完了
HTML	アイヌ語アーカイブ	C0016	織田ステノさんの民話(ｱ) 女の腹にサケが飛び込んだ（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0016	完了
HTML	アイヌ語アーカイブ	C0017	民話(ｱ)石狩の漁場から逃げた男（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0017	完了
HTML	アイヌ語アーカイブ	C0018	織田ステノさんの民話(ｱ) 家の神から呼ばれた女（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0018	完了
HTML	アイヌ語アーカイブ	C0019	織田ステノさんの民話(ｱ) 妹の機転のおかげで救われた村（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0019	完了
HTML	アイヌ語アーカイブ	C0020	織田ステノさんの民話(ｱ) 父の旧知の村で迷う魂（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0020	完了
HTML	アイヌ語アーカイブ	C0021	織田ステノさんの民話(ｱ) シナ皮を背負ったクマ（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0021	完了
HTML	アイヌ語アーカイブ	C0023	織田ステノさんの民話(ｱ) パナウンペとハルニレの木（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0023	完了
